boolQ_sae
Batch,Val Accuracy,Val CI Lower,Val CI Upper,Test Accuracy,Test CI Lower,Test CI Upper
10,0.645,0.5798749999999999,0.71,0.62,0.52975,0.7102499999999997
20,0.645,0.58,0.715,0.62,0.52,0.71
30,0.645,0.575,0.7051249999999999,0.62,0.52,0.7102499999999997
40,0.645,0.58,0.705,0.62,0.52,0.71
50,0.645,0.5798749999999999,0.715,0.62,0.53,0.71
60,0.645,0.575,0.71,0.62,0.52,0.71
70,0.645,0.5798749999999999,0.71,0.62,0.52,0.71
80,0.645,0.58,0.705,0.62,0.52,0.72
90,0.645,0.5798749999999999,0.71,0.62,0.52,0.72
100,0.645,0.58,0.705,0.62,0.52,0.71
110,0.645,0.58,0.71,0.62,0.53,0.72
120,0.645,0.58,0.71,0.62,0.52,0.71
130,0.645,0.58,0.7051249999999999,0.62,0.53,0.71
140,0.645,0.575,0.715,0.62,0.52975,0.71
150,0.65,0.58,0.715,0.61,0.51,0.71
160,0.645,0.575,0.71,0.61,0.51,0.7002499999999997
170,0.645,0.58,0.71,0.61,0.52,0.7
180,0.65,0.58,0.72,0.61,0.52,0.7
190,0.65,0.585,0.715,0.61,0.52,0.71
200,0.65,0.585,0.7101249999999999,0.59,0.49,0.69
210,0.645,0.575,0.715,0.57,0.48,0.66
220,0.64,0.575,0.7,0.58,0.48,0.67

boolQ_aave
Batch,Val Accuracy,Val CI Lower,Val CI Upper,Test Accuracy,Test CI Lower,Test CI Upper
10,0.5824742268041238,0.5154639175257731,0.654639175257732,0.5714285714285714,0.46938775510204084,0.6632653061224489
20,0.5824742268041238,0.5103092783505154,0.6494845360824743,0.5816326530612245,0.4895408163265306,0.673469387755102
30,0.5773195876288659,0.5103092783505154,0.6494845360824743,0.5918367346938775,0.47959183673469385,0.6836734693877551
40,0.5824742268041238,0.5154639175257731,0.6496134020618556,0.5918367346938775,0.4897959183673469,0.6836734693877551
50,0.5824742268041238,0.5103092783505154,0.6496134020618556,0.5918367346938775,0.4897959183673469,0.6938775510204082
60,0.5824742268041238,0.5103092783505154,0.654639175257732,0.5918367346938775,0.4897959183673469,0.6836734693877551
70,0.5721649484536082,0.5,0.6443298969072165,0.5918367346938775,0.4997448979591837,0.6836734693877551
80,0.5721649484536082,0.5,0.6391752577319587,0.5816326530612245,0.47959183673469385,0.673469387755102
90,0.5721649484536082,0.5,0.6443298969072165,0.5918367346938775,0.5,0.6938775510204082
100,0.5721649484536082,0.5051546391752577,0.6391752577319587,0.6020408163265306,0.5102040816326531,0.7040816326530612
110,0.5721649484536082,0.5051546391752577,0.6443298969072165,0.6020408163265306,0.5102040816326531,0.6938775510204082
120,0.5721649484536082,0.5,0.6443298969072165,0.5918367346938775,0.5,0.6938775510204082
130,0.5773195876288659,0.5051546391752577,0.6597938144329897,0.5816326530612245,0.4895408163265306,0.673469387755102
140,0.5876288659793815,0.5204896907216495,0.6597938144329897,0.5918367346938775,0.4897959183673469,0.6836734693877551
150,0.5721649484536082,0.5,0.6443298969072165,0.5714285714285714,0.46938775510204084,0.6632653061224489
160,0.5721649484536082,0.5051546391752577,0.634020618556701,0.5918367346938775,0.4897959183673469,0.6938775510204082
170,0.5773195876288659,0.5103092783505154,0.6443298969072165,0.5816326530612245,0.4897959183673469,0.6836734693877551
180,0.5979381443298969,0.5257731958762887,0.6649484536082474,0.5918367346938775,0.5,0.6839285714285712
190,0.6082474226804123,0.5412371134020618,0.6701030927835051,0.6224489795918368,0.5204081632653061,0.7142857142857143
200,0.6030927835051546,0.5360824742268041,0.6701030927835051,0.6020408163265306,0.5,0.7040816326530612
