boolQ_sae
Batch,Val Accuracy,Val CI Lower,Val CI Upper,Test Accuracy,Test CI Lower,Test CI Upper
170,0.6530612244897959,0.6530451684561274,0.5986394557823129,0.7074829931972789,0.5576923076923077,0.5440335493709493,0.4230769230769231,0.6923076923076923
180,0.6326530612244898,0.632227575982209,0.5782312925170068,0.6871598639455782,0.4807692307692308,0.47592385218365063,0.3269230769230769,0.6153846153846154
190,0.6394557823129252,0.6393890303170562,0.5816326530612245,0.6972789115646258,0.5192307692307693,0.5103578154425612,0.38461538461538464,0.6538461538461539
200,0.6632653061224489,0.6618530351437699,0.608843537414966,0.717687074829932,0.5192307692307693,0.5103578154425612,0.38461538461538464,0.6538461538461539
210,0.6360544217687075,0.6358479863868406,0.5816326530612245,0.6904761904761905,0.46153846153846156,0.45833333333333337,0.3269230769230769,0.5961538461538461

copa_sae
Batch,Val Accuracy,Val CI Lower,Val CI Upper,Test Accuracy,Test CI Lower,Test CI Upper
10,0.52,0.45,0.59,0.53,0.43975000000000003,0.6302499999999998
20,0.46,0.39,0.53,0.5,0.41,0.61
30,0.485,0.415,0.555125,0.53,0.43,0.62
40,0.48,0.415,0.550125,0.5,0.41,0.59
50,0.475,0.41,0.545,0.52,0.43,0.62
60,0.475,0.405,0.54,0.5,0.4,0.61
70,0.5,0.43,0.57,0.49,0.39,0.5902499999999997
80,0.48,0.41,0.55,0.47,0.37975000000000003,0.57
90,0.5,0.43,0.57,0.52,0.42,0.61
100,0.47,0.4,0.535,0.52,0.42,0.61
110,0.48,0.415,0.545,0.5,0.41,0.6
120,0.465,0.39,0.53,0.52,0.42975,0.62
130,0.425,0.355,0.495,0.53,0.43,0.63
140,0.47,0.4,0.54,0.54,0.44,0.6302499999999998
150,0.43,0.364875,0.5,0.51,0.41,0.6
160,0.455,0.385,0.52,0.52,0.42,0.62
170,0.41,0.345,0.475,0.51,0.4,0.61
180,0.415,0.35,0.485,0.52,0.43,0.6002499999999997
190,0.435,0.369875,0.5,0.56,0.46,0.66
200,0.405,0.33987500000000004,0.47,0.5,0.40975,0.6
210,0.44,0.375,0.51,0.54,0.44,0.63
220,0.435,0.365,0.505,0.51,0.41,0.61

copa_aave
Batch,Val Accuracy,Val CI Lower,Val CI Upper,Test Accuracy,Test CI Lower,Test CI Upper
10,0.615,0.55,0.680125,0.65,0.55,0.74
20,0.63,0.56,0.695,0.67,0.57,0.76
30,0.64,0.57,0.71,0.66,0.56,0.75
40,0.635,0.565,0.705,0.65,0.55,0.75
50,0.595,0.53,0.665,0.65,0.55,0.74
60,0.605,0.535,0.675,0.63,0.54,0.72
70,0.605,0.535,0.670125,0.62,0.52,0.71
80,0.585,0.52,0.65,0.65,0.55,0.74
90,0.595,0.53,0.655125,0.63,0.53,0.7202499999999997
100,0.6,0.53,0.67,0.62,0.52,0.71
110,0.585,0.52,0.65,0.63,0.53,0.73
120,0.6,0.53,0.67,0.62,0.53,0.71
130,0.59,0.524875,0.66,0.62,0.53,0.72
140,0.59,0.525,0.655,0.61,0.51975,0.7
150,0.585,0.52,0.65,0.63,0.53,0.72
160,0.565,0.5,0.635,0.62,0.52,0.72
170,0.575,0.51,0.645,0.63,0.53,0.72
180,0.57,0.5,0.6351249999999999,0.64,0.54,0.73
190,0.58,0.51,0.65,0.63,0.54,0.72
200,0.575,0.505,0.645,0.65,0.55,0.74
210,0.575,0.505,0.645,0.65,0.56,0.74
220,0.565,0.5,0.63,0.62,0.53,0.7102499999999997

