boolQ_sae
Batch,Val Accuracy,Val CI Lower,Val CI Upper,Test Accuracy,Test CI Lower,Test CI Upper
160,0.5374149659863946,0.5360408447435601,0.48299319727891155,0.5986394557823129,0.5769230769230769,0.519327731092437,0.4423076923076923,0.7115384615384616
170,0.5170068027210885,0.5104596622889306,0.4625,0.5748299319727891,0.5961538461538461,0.5772357723577235,0.46153846153846156,0.7307692307692307
180,0.5476190476190477,0.5474881670157734,0.4965986394557823,0.6020408163265306,0.5961538461538461,0.5339308578745199,0.46153846153846156,0.7307692307692307
190,0.5272108843537415,0.5242995332161523,0.46938775510204084,0.5850340136054422,0.5576923076923077,0.5047619047619047,0.4230769230769231,0.6923076923076923
200,0.54421768707483,0.5441965938541281,0.48639455782312924,0.5986394557823129,0.5769230769230769,0.519327731092437,0.4423076923076923,0.7115384615384616
210,0.54421768707483,0.5441333024762787,0.48299319727891155,0.6020408163265306,0.5769230769230769,0.519327731092437,0.4423076923076923,0.7115384615384616

multirc_aave
Batch,Val Accuracy,Val F1,Val CI Lower,Val CI Upper,Test Accuracy,Test F1,Test CI Lower,Test CI Upper
10,0.6462585034013606,0.6462421325435024,0.5918367346938775,0.6938775510204082,0.6346153846153846,0.5634114007954043,0.5,0.75
20,0.6496598639455783,0.6404715827466252,0.5918367346938775,0.7074829931972789,0.6346153846153846,0.38823529411764707,0.5,0.7692307692307693
30,0.6360544217687075,0.6357130449887094,0.5816326530612245,0.6904761904761905,0.5961538461538461,0.5594997983057685,0.46153846153846156,0.7120192307692303
40,0.6530612244897959,0.6529969914371674,0.5986394557823129,0.7074829931972789,0.5961538461538461,0.5594997983057685,0.46153846153846156,0.7307692307692307
50,0.6768707482993197,0.6736958934517203,0.6190476190476191,0.7312925170068028,0.5961538461538461,0.4979310344827586,0.46153846153846156,0.7307692307692307
60,0.6802721088435374,0.6769079685746353,0.6292517006802721,0.7312925170068028,0.5961538461538461,0.4979310344827586,0.4423076923076923,0.7115384615384616
70,0.6700680272108843,0.669972572936316,0.6121598639455782,0.7210884353741497,0.5961538461538461,0.5594997983057685,0.46153846153846156,0.7307692307692307
80,0.6870748299319728,0.6842105263157895,0.6326530612244898,0.7346938775510204,0.6153846153846154,0.5315315315315315,0.4807692307692308,0.75
90,0.6836734693877551,0.6805654535895789,0.6292517006802721,0.7313775510204081,0.5961538461538461,0.517454706142289,0.46153846153846156,0.7307692307692307
100,0.6394557823129252,0.6391886259435928,0.5849489795918367,0.6938775510204082,0.5769230769230769,0.5438596491228069,0.4423076923076923,0.6923076923076923
110,0.6870748299319728,0.6846082089552239,0.6326530612244898,0.7347789115646258,0.5961538461538461,0.517454706142289,0.46153846153846156,0.7307692307692307
120,0.6836734693877551,0.6809828835451013,0.6291666666666667,0.7381802721088435,0.5961538461538461,0.517454706142289,0.4423076923076923,0.7115384615384616
130,0.6802721088435374,0.6773455377574371,0.6292517006802721,0.7312925170068028,0.5576923076923077,0.47149801148917364,0.4230769230769231,0.6923076923076923
140,0.6598639455782312,0.6594699777613047,0.6054421768707483,0.7108843537414966,0.5384615384615384,0.4901960784313726,0.40384615384615385,0.6730769230769231
150,0.6802721088435374,0.6773455377574371,0.6292517006802721,0.7347789115646258,0.5576923076923077,0.489543320529236,0.4230769230769231,0.6923076923076923
160,0.6598639455782312,0.6594699777613047,0.6054421768707483,0.7142857142857143,0.5769230769230769,0.5438596491228069,0.4423076923076923,0.7115384615384616
170,0.6768707482993197,0.672225416906268,0.6156462585034014,0.7312925170068028,0.5961538461538461,0.4979310344827586,0.46153846153846156,0.7307692307692307
180,0.6564625850340136,0.6564586105165731,0.6054421768707483,0.7074829931972789,0.5576923076923077,0.5175473981444131,0.4230769230769231,0.6923076923076923
190,0.6802721088435374,0.6754052149400986,0.6258503401360545,0.7313775510204081,0.5961538461538461,0.4979310344827586,0.46153846153846156,0.7307692307692307
200,0.6564625850340136,0.6564268110659863,0.6019557823129251,0.7108843537414966,0.5769230769230769,0.5438596491228069,0.4230769230769231,0.7115384615384616
210,0.6700680272108843,0.6672617172459658,0.6156462585034014,0.7244897959183674,0.5,0.4319327731092437,0.36538461538461536,0.6346153846153846

copa_sae
Batch,Val Accuracy,Val CI Lower,Val CI Upper,Test Accuracy,Test CI Lower,Test CI Upper
10,0.44,0.37,0.5,0.53,0.43,0.63
20,0.49,0.42,0.56,0.54,0.44,0.64
30,0.465,0.395,0.53,0.54,0.44,0.63
40,0.435,0.369875,0.505,0.51,0.42,0.6
50,0.43,0.36,0.5,0.52,0.43,0.62
60,0.43,0.365,0.495,0.52,0.43,0.62
70,0.465,0.395,0.535,0.54,0.44975000000000004,0.64
80,0.42,0.35,0.485,0.53,0.43,0.6302499999999998
90,0.415,0.345,0.48,0.54,0.44975000000000004,0.64
100,0.415,0.35,0.485,0.52,0.42,0.62
110,0.42,0.355,0.49,0.46,0.36,0.56
120,0.4,0.335,0.465,0.52,0.41,0.62
130,0.39,0.32,0.4551249999999999,0.52,0.42975,0.62
140,0.415,0.345,0.485,0.51,0.41,0.61
150,0.39,0.325,0.455,0.48,0.39,0.58
160,0.375,0.31,0.445,0.49,0.39,0.5902499999999997
170,0.38,0.309875,0.45,0.53,0.43,0.63
180,0.38,0.32,0.445,0.49,0.4,0.59
190,0.385,0.32,0.455,0.49,0.39,0.59
200,0.4,0.33487500000000003,0.475,0.51,0.40975,0.6
210,0.37,0.305,0.44,0.49,0.39,0.59
220,0.38,0.315,0.445,0.47,0.37,0.58

copa_aave
Batch,Val Accuracy,Val CI Lower,Val CI Upper,Test Accuracy,Test CI Lower,Test CI Upper
10,0.55,0.48,0.615,0.5,0.39,0.5902499999999997
20,0.535,0.465,0.605,0.45,0.36,0.55
30,0.565,0.49,0.63,0.44,0.34,0.5302499999999998
40,0.54,0.475,0.615,0.39,0.3,0.49
50,0.53,0.46,0.6,0.44,0.34,0.54
60,0.52,0.45487500000000003,0.59,0.48,0.38,0.58
70,0.56,0.49,0.625,0.45,0.36,0.55
80,0.56,0.49,0.63,0.42,0.32,0.52
90,0.51,0.44,0.575,0.46,0.36,0.56
100,0.545,0.475,0.61,0.44,0.35,0.54
110,0.505,0.435,0.5751249999999999,0.45,0.34,0.55
120,0.525,0.455,0.59,0.4,0.31,0.5
130,0.525,0.46,0.595,0.4,0.3,0.5
140,0.545,0.475,0.61,0.43,0.33,0.52
150,0.47,0.4,0.535,0.47,0.37,0.56
160,0.565,0.5,0.63,0.44,0.35,0.54
170,0.505,0.435,0.57,0.47,0.37,0.57
180,0.525,0.455,0.59,0.43,0.33975000000000005,0.53
190,0.505,0.44,0.57,0.41,0.31,0.51
200,0.5,0.43,0.57,0.42,0.32,0.52
210,0.515,0.444875,0.585,0.4,0.3,0.49
220,0.47,0.4,0.54,0.46,0.37,0.5502499999999998

